anime_id,anime_title,anime_english_title,anime_japanese_title,anime_synonyms
6927,Higashi no Eden: Air Communication,Eden of The East Compilation: Air Communication; Higashi no Eden Recap,東のエデン 総集編 Air Communication,
123,Fushigi Yuugi (Mysterious Play),Mysterious Play,ふしぎ遊戯,"Fushigi Yugi, Curious Play"
1015,Full Metal Panic! The Second Raid: Wari to Hima na Sentaichou no Ichinichi,,わりとヒマな戦隊長の一日,"The Commanding Officer's Rather Quiet Day, Full Metal Panic! The Second Raid Special, Full Metal Panic! The Second Raid OVA"
71,Full Metal Panic!,Full Metal Panic!,フルメタル・パニック！,"FMP, Fullmetal Panic!"
9982,Fairy Tail OVA,,フェアリーテイル OVA,"Fairy Tail: Youkoso Fairy Hills!, Yousei Gakuen: Yankee-kun to Yankee-chan"
2229,Dragon Quest: Dai no Daibouken,,ドラゴンクエスト・ダイの大冒険,"Dragon Quest: Dai's Great Adventure, Dragon Quest: Adventure of Dai"
1690,Bokurano,Bokurano,ぼくらの,Bokurano: Ours
740,Bishoujo Senshi Sailor Moon R (Sailor Moon R),Sailor Moon R,美少女戦士セーラームーン R,Pretty Soldier Sailor Moon R
9471,Baka to Test to Shoukanjuu: Matsuri,Baka & Test - Summon the Beasts OVA,バカとテストと召喚獣 ～祭～,"Baka to Test to Shoukanjuu OVA, Baka to Test to Shokanju OVA, The Idiot, the Tests, and the Summoned Creatures OVA, Baka and Test: Summon the Beasts OVA"
477,Aria The Animation,Aria The Animation,ARIA The ANIMATION,
9062,Angel Beats! Specials,,エンジェルビーツ,"Angel Beats!: Stairway to Heaven, Angel Beats!: Hell's Kitchen"
283,Akage no Anne (Anne of Green Gables),Anne of Green Gables,赤毛のアン,"Sekai Meisaku Gekijou, Red haired Anne, Anne the Redhead"
2557,Trapp Ikka Monogatari (The Trapp Family Story),The Trapp Family Story,トラップ 一家 物語,Sekai Meisaku Gekijou
1002,Top wo Nerae 2! Diebuster (Gunbuster 2),Gunbuster 2,トップをねらえ2！DIEBUSTER,"Aim for the Top! 2, DieBuster"
13851,To LOVE-Ru Darkness OVA,,To LOVEる -とらぶる- ダークネス,"To LOVE-Ru Trouble Darkness OVA, To-Love-Ru Darkness OVA, ToLoveRu Darkness OVA"
23777,Shingeki no Kyojin Movie 2: Jiyuu no Tsubasa,Attack on Titan: Wings of Freedom,劇場版「進撃の巨人」後編～自由の翼～,
21843,Shingeki no Bahamut: Genesis (Rage of Bahamut: Genesis),Rage of Bahamut: Genesis,神撃のバハムート GENESIS,
